,Country,Player,Team,Base price,Winning bid,Year
609,England,Sam Curran,Kings XI Punjab,200,720,2019
610,South Africa,Heinrich Klaasen,Royal Challengers Bangalore,50,50,2019
611,India,Barinder Sran,Mumbai Indians,50,340,2019
612,New Zealand,Lockie Ferguson,Kolkata Knight Riders,100,160,2019
613,Guyana,Sherfane Rutherford,Delhi Capitals,40,200,2019
614,South Africa,Anrich Nortje,Kolkata Knight Riders,20,20,2019
615,Jamaica,Oshane Thomas,Rajasthan Royals,50,110,2019
616,South Africa,Hardus Viljoen,Kings XI Punjab,75,75,2019
617,India,Himmat Singh,Royal Challengers Bangalore,20,65,2019
618,India,Nikhil Naik,Kolkata Knight Riders,20,20,2019
619,India,Arshdeep Singh,Kings XI Punjab,20,20,2019
620,England,Harry Gurney,Kolkata Knight Riders,75,75,2019
621,India,Pankaj Jaiswal,Mumbai Indians,20,20,2019
622,India,Milind Kumar,Royal Challengers Bangalore,20,20,2019
623,India,Darshan Nalkande,Kings XI Punjab,20,30,2019
624,India,Shashank Singh,Rajasthan Royals,20,30,2019
625,India,Prab Simran Singh,Kings XI Punjab,20,480,2019
626,India,Rasikh Salam,Mumbai Indians,20,20,2019
627,India,Prithvi Raj Yarra,Kolkata Knight Riders,20,20,2019
628,England,Liam Livingstone,Rajasthan Royals,50,50,2019
629,Guyana,Keemo Paul,Delhi Capitals,50,50,2019
630,India,Prayas Ray Barman,Royal Challengers Bangalore,20,150,2019
631,India,Agnivesh Ayachi,Kings XI Punjab,20,20,2019
632,India,Harpreet Brar,Kings XI Punjab,20,20,2019
633,New Zealand,Martin Guptill,Sunrisers Hyderabad,100,100,2019
634,India,Yuvraj Singh,Mumbai Indians,100,100,2019
635,India,Akshdeep Nath,Royal Challengers Bangalore,20,360,2019
636,India,Jalaj Saxena,Delhi Capitals,20,20,2019
637,India,Murugan Ashwin,Kings XI Punjab,20,20,2019
638,India,Ruturaj Gaikwad,Chennai Super Kings,20,20,2019
639,India,Shubham Ranjane,Rajasthan Royals,20,20,2019
640,England,Joe Denly,Kolkata Knight Riders,100,100,2019
641,India,Bandaru Ayyappa,Delhi Capitals,20,20,2019
642,India,Shrikant Mundhe,Kolkata Knight Riders,20,20,2019
643,India,Manan Vohra,Rajasthan Royals,20,20,2019
644,Australia,Ashton Turner,Rajasthan Royals,50,50,2019
645,India,Riyan Parag,Rajasthan Royals,20,20,2019
646,Australia,Chris Lynn,Mumbai Indians,200,200,2020
647,England,Eoin Morgan,Kolkata Knight Riders,200,525,2020
648,India,Robin Uthappa,Rajasthan Royals,150,300,2020
649,England,Jason Roy,Delhi Capitals,150,150,2020
650,Australia,Aaron Finch,Royal Challengers Bangalore,100,440,2020
651,Australia,Glenn Maxwell,Kings XI Punjab,200,1075,2020
652,England,Chris Woakes,Delhi Capitals,150,150,2020
653,Australia,Pat Cummins,Kolkata Knight Riders,200,1550,2020
654,England,Sam Curran,Chennai Super Kings,100,550,2020
655,South Africa,Chris Morris,Royal Challengers Bangalore,150,1000,2020
656,Australia,Alex Carey,Delhi Capitals,50,240,2020
657,India,Jaydev Unadkat,Rajasthan Royals,100,300,2020
658,Australia,Nathan Coulter-Nile,Mumbai Indians,100,800,2020
659,Jamaica,Sheldon Cottrell,Kings XI Punjab,50,850,2020
660,India,Piyush Chawla,Chennai Super Kings,100,675,2020
661,India,Rahul Tripathi,Kolkata Knight Riders,20,60,2020
662,India,Virat Singh,Sunrisers Hyderabad,20,190,2020
663,India,Priyam Garg,Sunrisers Hyderabad,20,190,2020
664,India,Deepak Hooda,Kings XI Punjab,40,50,2020
665,India,Varun Chakravarthy,Kolkata Knight Riders,30,400,2020
666,India,Yashasvi Jaiswal,Rajasthan Royals,20,240,2020
667,India,Anuj Rawat,Rajasthan Royals,20,80,2020
668,India,Akash Singh,Rajasthan Royals,20,20,2020
669,India,Kartik Tyagi,Rajasthan Royals,20,130,2020
670,India,Ishan Porel,Kings XI Punjab,20,20,2020
671,India,M Siddharth,Kolkata Knight Riders,20,20,2020
672,India,Ravi Bishnoi,Kings XI Punjab,20,200,2020
673,Guyana,Shimron Hetmyer,Delhi Capitals,50,775,2020
674,South Africa,David Miller,Rajasthan Royals,75,75,2020
675,India,Saurabh Tiwary,Mumbai Indians,50,50,2020
676,Australia,Mitchell Marsh,Sunrisers Hyderabad,200,200,2020
677,New Zealand,James Neesham,Kings XI Punjab,50,50,2020
678,Australia,Josh Hazlewood,Chennai Super Kings,200,200,2020
679,India,Bavanaka Sandeep,Sunrisers Hyderabad,20,20,2020
680,Australia,Chris Green,Kolkata Knight Riders,20,20,2020
681,Australia,Josh Philippe,Royal Challengers Bangalore,20,20,2020
682,India,Mohsin Khan,Mumbai Indians,20,20,2020
683,England,Tom Banton,Kolkata Knight Riders,100,100,2020
684,Jamaica,Fabian Allen,Sunrisers Hyderabad,50,50,2020
685,England,Chris Jordan,Kings XI Punjab,75,300,2020
686,Australia,Kane Richardson,Royal Challengers Bangalore,150,400,2020
687,Jamaica,Oshane Thomas,Rajasthan Royals,50,50,2020
688,India,Pravin Tambe,Kolkata Knight Riders,20,20,2020
689,India,Tajinder Singh Dhillon,Kings XI Punjab,20,20,2020
690,India,Abdul Samad,Sunrisers Hyderabad,20,20,2020
691,India,Aniruddha Joshi,Rajasthan Royals,20,20,2020
692,India,Digvijay Deshmukh,Mumbai Indians,20,20,2020
693,India,Prince Balwant Rai,Mumbai Indians,20,20,2020
694,India,Sanjay Yadav,Sunrisers Hyderabad,20,20,2020
695,India,Mohit Sharma,Delhi Capitals,50,50,2020
696,India,Pavan Deshpande,Royal Challengers Bangalore,20,20,2020
697,India,Prab Simran Singh,Kings XI Punjab,20,55,2020
698,India,Tushar Deshpande,Delhi Capitals,20,20,2020
699,India,R Sai Kishore,Chennai Super Kings,20,20,2020
700,Australia,Marcus Stoinis,Delhi Capitals,100,480,2020
701,South Africa,Dale Steyn,Royal Challengers Bangalore,200,200,2020
702,Australia,Andrew Tye,Rajasthan Royals,100,100,2020
703,India,Lalit Yadav,Delhi Capitals,20,20,2020
704,India,Shahbaz Ahmed,Royal Challengers Bangalore,20,20,2020
705,India,Nikhil Naik,Kolkata Knight Riders,20,20,2020
706,England,Tom Curran,Rajasthan Royals,100,100,2020
707,Sri Lanka,Isuru Udana,Royal Challengers Bangalore,50,50,2020
708,Australia,Steve Smith,Delhi Capitals,200,220,2021
709,Australia,Glenn Maxwell,Royal Challengers Bangalore,200,1425,2021
710,Bangladesh,Shakib Al Hasan,Kolkata Knight Riders,200,320,2021
711,England,Moeen Ali,Chennai Super Kings,200,700,2021
712,India,Shivam Dube,Rajasthan Royals,50,440,2021
713,South Africa,Chris Morris,Rajasthan Royals,75,1625,2021
714,England,Dawid Malan,Punjab Kings,150,150,2021
715,New Zealand,Adam Milne,Mumbai Indians,50,320,2021
716,Bangladesh,Mustafizur Rahman,Rajasthan Royals,100,100,2021
717,Australia,Jhye Richardson,Punjab Kings,150,1400,2021
718,Australia,Nathan Coulter-Nile,Mumbai Indians,150,500,2021
